title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes
Harry Potter and the Goblet of Fire,movie,"Adventure, Family, Fantasy",2005,tt0330373,7.7,719114
Harry Potter and the Order of the Phoenix,movie,"Action, Adventure, Family",2007,tt0373889,7.5,667986
Pulp Fiction,movie,"Crime, Drama",1994,tt0110912,8.9,2341703
The Piano,movie,"Drama, Music, Romance",1993,tt0107822,7.5,98548
Together,movie,"Comedy, Drama, Romance",2000,tt0203166,7.4,25091
Top Gun,movie,"Action, Drama",1986,tt0092099,7,529794
The Last Emperor,movie,"Biography, Drama, History",1987,tt0093389,7.7,116094
Shaun of the Dead,movie,"Comedy, Horror",2004,tt0365748,7.9,620234
V for Vendetta,movie,"Action, Drama, Sci-Fi",2005,tt0434409,8.1,1216876
Monty Python and the Holy Grail,movie,"Adventure, Comedy, Fantasy",1975,tt0071853,8.2,588982
The Evil Dead,movie,Horror,1981,tt0083907,7.4,243108
Harry Potter and the Half-Blood Prince,movie,"Action, Adventure, Family",2009,tt0417741,7.6,629511
Goodfellas,movie,"Biography, Crime, Drama",1990,tt0099685,8.7,1330152
Gandhi,movie,"Biography, Drama, History",1982,tt0083987,8,244236
Kolya,movie,"Comedy, Drama, Music",1996,tt0116790,7.7,16612
Mr. & Mrs. Smith,movie,"Action, Comedy, Crime",2005,tt0356910,6.5,569168
Closely Watched Trains,movie,"Comedy, Drama, Romance",1966,tt0060802,7.6,14482
The Fog,movie,"Horror, Mystery",2005,tt0432291,3.7,40393
City of Angels,movie,"Drama, Fantasy, Romance",1998,tt0120632,6.7,131731
Persona,movie,"Drama, Thriller",1966,tt0060827,8,136452
Roman Holiday,movie,"Comedy, Drama, Romance",1953,tt0046250,8,153591
Se7en,movie,"Crime, Drama, Mystery",1995,tt0114369,8.6,1916831
Shrek,movie,"Adventure, Animation, Comedy",2001,tt0126029,7.9,775325
Shrek 2,movie,"Adventure, Animation, Comedy",2004,tt0298148,7.4,532652
Shrek the Third,movie,"Adventure, Animation, Comedy",2007,tt0413267,6.1,348254
Austin Powers: International Man of Mystery,movie,"Adventure, Comedy",1997,tt0118655,7,266385
Austin Powers: The Spy Who Shagged Me,movie,"Action, Adventure, Comedy",1999,tt0145660,6.7,256659
Underworld: Evolution,movie,"Action, Fantasy, Thriller",2006,tt0401855,6.7,214242
Barren Lives,movie,Drama,1963,tt0057654,7.5,3187
American Graffiti,movie,"Comedy, Drama",1973,tt0069704,7.4,102581
Close Encounters of the Third Kind,movie,"Drama, Sci-Fi",1977,tt0075860,7.6,225854
Dune,movie,"Action, Adventure, Sci-Fi",1984,tt0087182,6.3,188848
In the Mood for Love,movie,"Drama, Romance",2000,tt0118694,8.1,177715
2046,movie,"Drama, Romance, Sci-Fi",2004,tt0212712,7.4,63978
Enemy at the Gates,movie,"Action, Drama, War",2001,tt0215750,7.5,286417
The Mask,movie,"Comedy, Crime, Fantasy",1994,tt0110475,7,448290
Black Hawk Down,movie,"Action, Drama, History",2001,tt0265086,7.7,440614
Saving Private Ryan,movie,"Drama, War",1998,tt0120815,8.6,1574032
Sleepless in Seattle,movie,"Comedy, Drama, Romance",1993,tt0108160,6.8,199094
