title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes
Kevin Hart: The Kennedy Center Mark Twain Prize for American Humor,movie,Comedy,2024,tt31805297,6.60,820.00
Norman's Rare Guitars Documentary,movie,Documentary,2024,tt12914718,7.80,240.00
Sniper: The Last Stand,movie,Action,2025,tt34910018,4.70,1063.00
Slayground,movie,Horror,2012,tt2515070,5.40,1424.00
Slayground,movie, Short,2012,tt2515070,5.40,1424.00
Mothering Sunday,movie,Comedy,2021,tt32044254,7.10,206.00
Mothering Sunday,movie, Horror,2021,tt32044254,7.10,206.00
Mothering Sunday,movie, Short,2021,tt32044254,7.10,206.00
Night Owl,movie,Comedy,2025,tt34967734,5.90,166.00
Night Owl,movie, Documentary,2025,tt34967734,5.90,166.00
Perusu,movie,Comedy,2025,tt30406302,6.30,1617.00
StreetRiderZ: The Documentary,movie,Action,2013,tt2951260,6.50,8.00
StreetRiderZ: The Documentary,movie, Biography,2013,tt2951260,6.50,8.00
StreetRiderZ: The Documentary,movie, Crime,2013,tt2951260,6.50,8.00
Delicious,movie,Drama,2025,tt32047217,4.40,5406.00
Delicious,movie, Thriller,2025,tt32047217,4.40,5406.00
I Want to Be Boss,movie,Comedy,2025,tt35255688,4.00,56.00
I Want to Be Boss,movie, Drama,2025,tt35255688,4.00,56.00
I Want to Be Boss,movie, Sci-Fi,2025,tt35255688,4.00,56.00
Puppies,movie,Comedy,2025,tt35676003,5.90,160.00
Puppies,movie, Romance,2025,tt35676003,5.90,160.00
When Will You Marry?,movie,Action,2025,tt34771488,4.80,140.00
When Will You Marry?,movie, Comedy,2025,tt34771488,4.80,140.00
When Will You Marry?,movie, Romance,2025,tt34771488,4.80,140.00
The Wrong Track,movie,Comedy,2025,tt31828532,6.00,969.00
Felipe Esparza: Raging Fool,movie,Comedy,2025,tt35520282,6.50,124.00
Felipe Esparza: Raging Fool,movie, Documentary,2025,tt35520282,6.50,124.00
Miss Italy Must Not Die,movie,Documentary,2025,tt35574419,5.30,175.00
FireAid Benefit Concert,movie,Music,2025,tt35471898,7.20,93.00
Court - State Vs. A Nobody,movie,Drama,2025,tt33307144,7.90,8196.00
Sampung Utos Kay Josh,movie,Comedy,2025,tt35559284,6.40,173.00
Sampung Utos Kay Josh,movie, Drama,2025,tt35559284,6.40,173.00
Sampung Utos Kay Josh,movie, Horror,2025,tt35559284,6.40,173.00
Umjolo: There Is No Cure,movie,Comedy,2025,tt35520292,4.00,142.00
Umjolo: There Is No Cure,movie, Drama,2025,tt35520292,4.00,142.00
Umjolo: There Is No Cure,movie, Romance,2025,tt35520292,4.00,142.00
Rosebud Baker: The Mother Lode,movie,Comedy,2025,tt35510818,6.70,199.00
Rosebud Baker: The Mother Lode,movie, Documentary,2025,tt35510818,6.70,199.00
Barbie and Teresa: Recipe for Friendship,movie,Animation,2025,tt33550838,6.40,90.00
Mysterious murder,movie,Crime,2020,tt16711732,9.80,24.00
Mysterious murder,movie, Horror,2020,tt16711732,9.80,24.00
Mysterious murder,movie, Mystery,2020,tt16711732,9.80,24.00
Sosyal Climbers,movie,Comedy,2025,tt35624097,5.00,315.00
Sosyal Climbers,movie, Romance,2025,tt35624097,5.00,315.00
Larissa: The Other Side of Anitta,movie,Biography,2025,tt35630679,5.50,665.00
Larissa: The Other Side of Anitta,movie, Documentary,2025,tt35630679,5.50,665.00
Larissa: The Other Side of Anitta,movie, Music,2025,tt35630679,5.50,665.00
Chaos: The Manson Murders,movie,Crime,2025,tt35628886,5.60,2716.00
Chaos: The Manson Murders,movie, Documentary,2025,tt35628886,5.60,2716.00
Oyunda Kal: Eglence Arenasi,movie,Adventure,2024,tt33371459,2.50,38.00
Oyunda Kal: Eglence Arenasi,movie, Comedy,2024,tt33371459,2.50,38.00
Oyunda Kal: Eglence Arenasi,movie, Family,2024,tt33371459,2.50,38.00
A Copenhagen Love Story,movie,Drama,2025,tt33501878,6.30,1719.00
A Copenhagen Love Story,movie, Romance,2025,tt33501878,6.30,1719.00
Frozen Hot Boys,movie,Comedy,2025,tt35669015,6.20,325.00
Frozen Hot Boys,movie, Drama,2025,tt35669015,6.20,325.00
Frozen Hot Boys,movie, Sport,2025,tt35669015,6.20,325.00
Tamang Panahon,movie,Comedy,2025,tt35691243,7.10,32.00
Tamang Panahon,movie, Documentary,2025,tt35691243,7.10,32.00
"Magma - Mattarella, il delitto perfetto",movie,Crime,2025,tt35665826,8.10,17.00
"Magma - Mattarella, il delitto perfetto",movie, Documentary,2025,tt35665826,8.10,17.00
Andrew Schulz: Life,movie,Comedy,2025,tt35705915,7.60,2034.00
Andrew Schulz: Life,movie, Documentary,2025,tt35705915,7.60,2034.00
Chelsea Handler: The Feeling,movie,Comedy,2025,tt35820235,5.80,543.00
Chelsea Handler: The Feeling,movie, Documentary,2025,tt35820235,5.80,543.00
The Twister: Caught in the Storm,movie,Documentary,2025,tt35882698,6.80,3917.00
Blind Vacation,movie,Comedy,2025,tt35772353,5.10,81.00
Blind Vacation,movie, Romance,2025,tt35772353,5.10,81.00
Bert Kreischer: Lucky,movie,Comedy,2025,tt35924806,6.40,733.00
Bert Kreischer: Lucky,movie, Documentary,2025,tt35924806,6.40,733.00
Kevin Hart: The Kennedy Center Mark Twain Prize for American Humor,movie,Comedy,2024,tt31805297,6.60,820.00
Con Mum,movie,Crime,2025,tt35955855,6.60,2475.00
Con Mum,movie, Documentary,2025,tt35955855,6.60,2475.00
Por,movie,Action,2024,tt27116149,5.10,625.00
Por,movie, Drama,2024,tt27116149,5.10,625.00
One Piece Fan Letter,movie,Action,2024,tt33998607,9.20,20239.00
One Piece Fan Letter,movie, Adventure,2024,tt33998607,9.20,20239.00
One Piece Fan Letter,movie, Animation,2024,tt33998607,9.20,20239.00
Novecento: il secolo estremo,movie,Documentary,2009,tt15133860,4.90,9.00
The Dad Quest,movie,Comedy,2025,tt36150950,5.40,500.00
The Dad Quest,movie, Drama,2025,tt36150950,5.40,500.00
Meet the Khumalos,movie,Comedy,2025,tt36242582,5.10,493.00
Meet the Khumalos,movie, Drama,2025,tt36242582,5.10,493.00
Kill Tony: Kill or Be Killed,movie,Talk-Show,2025,tt36383424,4.80,721.00
Oklahoma City Bombing: American Terror,movie,Crime,2025,tt36351149,6.80,2339.00
Oklahoma City Bombing: American Terror,movie, Documentary,2025,tt36351149,6.80,2339.00
Behind the Curtain: Stranger Things the First Shadow,movie,Documentary,2025,tt36548443,6.50,188.00
Air Force Elite: Thunderbirds,movie,Documentary,2025,tt35628532,7.20,737.00
One Piece Fan Letter,movie,Action,2024,tt33998607,9.20,20239.00
One Piece Fan Letter,movie, Adventure,2024,tt33998607,9.20,20239.00
One Piece Fan Letter,movie, Animation,2024,tt33998607,9.20,20239.00
A Queen's Runway,movie,Documentary,2025,tt30868885,6.90,20.00
The Good Life,movie,Comedy,2025,tt36462322,7.20,366.00
Tim Dillon: I'm Your Mother,movie,Comedy,2025,tt36413638,6.10,449.00
Sarah Silverman: PostMortem,movie,Comedy,2025,tt36473825,6.40,707.00
Sarah Silverman: PostMortem,movie, Documentary,2025,tt36473825,6.40,707.00
Britain and the Blitz,movie,Documentary,2025,tt36462227,6.80,885.00
What Are the Odds?,movie,Comedy,2006,tt0498400,7.20,29.00
What Are the Odds?,movie, Short,2006,tt0498400,7.20,29.00
A Lagos Love Story,movie,Comedy,2025,tt36628631,5.20,19.00
A Lagos Love Story,movie, Romance,2025,tt36628631,5.20,19.00
Meraklii,movie,Comedy,2025,tt36540303,2.90,10.00
Meraklii,movie, Drama,2025,tt36540303,2.90,10.00
Shooting Guards,movie,Biography,2025,tt36557691,6.60,531.00
